1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
5,32,42,42,42,48,42,42,42,42,42,42,42,42,42,32,42,42,42,42,42,48,42,42,42,42,42,42,42,42,42,42,42,32,5
5,32,32,42,32,32,32,32,42,32,32,32,32,32,42,32,42,32,32,32,32,42,32,32,32,32,32,42,32,32,32,32,42,32,5
5,32,32,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,32,5
5,32,32,32,32,32,32,32,42,32,32,42,32,32,32,32,32,32,42,32,32,42,32,32,32,32,32,42,32,32,42,32,42,32,5
5,42,42,48,42,42,42,42,42,32,32,42,32,32,32,32,32,32,42,32,32,42,32,32,32,32,32,42,32,32,48,42,42,42,5
5,32,42,32,32,32,32,32,42,32,32,42,42,42,42,42,42,42,42,32,32,42,42,42,48,42,42,42,32,32,32,32,42,32,5
5,32,42,32,32,32,32,32,42,32,32,42,32,32,32,32,32,32,42,32,32,42,32,32,32,32,32,42,32,32,32,32,42,32,5
5,32,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,32,32,32,32,32,42,42,42,42,42,42,32,5
3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
