1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
5,88,32,32,32,32,88,88,88,88,32,32,32,32,32,32,32,32,32,32,32,32,32,88,88,88,88,88,32,32,32,32,32,32,5
5,88,88,88,88,88,88,32,32,88,32,32,32,32,32,32,32,32,32,32,32,32,32,88,32,32,32,88,32,32,32,32,32,32,5
5,32,32,88,32,32,32,32,32,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,32,32,32,88,32,32,32,32,32,32,5
5,32,32,88,32,32,32,32,32,88,32,32,32,32,32,88,32,32,32,32,32,32,32,88,32,32,32,88,32,32,32,32,32,32,5
5,88,88,88,88,88,88,88,88,88,32,32,32,32,32,88,32,32,32,32,32,32,32,88,32,32,32,88,88,88,88,88,88,88,5
5,32,32,32,32,32,88,32,32,32,32,32,32,32,32,88,32,32,32,32,32,32,32,88,32,32,32,88,32,32,32,32,32,32,5
5,32,32,32,32,32,88,32,32,32,32,32,32,32,32,88,32,32,32,32,32,32,32,88,32,32,32,88,32,32,32,32,32,32,5
5,32,32,32,32,32,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,32,32,32,32,32,32,5
3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
